sediment_thick,gwt,predom,vs30,dem,pga,geo_form,near_dis,near_dis_norm,near_dist,LIQ
8,7,7,2,2,7,7,0.83,0.09,4,1
7,7,6,2,2,6,7,0.8,0.08,4,1
6,6,6,1,2,6,7,1.37,0.14,5,1
4,5,6,3,3,6,7,1.45,0.15,5,1
2,4,1,2,3,3,6,0.96,0.1,4,0
6,5,3,2,3,8,7,2.73,0.29,8,1
4,5,3,2,3,8,7,1.74,0.18,6,1
3,5,2,3,2,9,7,0.76,0.08,4,0
6,3,8,1,2,7,11,0.05,0,1,1
6,3,5,1,2,6,7,0.36,0.04,2,1
7,4,7,2,2,6,17,0.2,0.02,2,1
8,4,8,2,2,5,7,0.35,0.04,2,1
8,4,9,1,2,5,7,0.23,0.02,2,1
7,4,9,2,2,5,7,0.09,0.01,1,1
7,3,9,2,2,5,11,0.03,0,1,1
8,7,9,1,2,5,13,0.07,0.01,1,1
8,7,8,2,2,5,7,0.19,0.02,1,1
8,7,7,1,2,7,7,0.13,0.01,1,1
6,6,6,2,2,7,7,0.91,0.1,4,1
5,5,6,2,2,6,7,0.62,0.07,3,1
6,4,7,1,2,6,7,0.14,0.01,1,1
2,5,1,3,3,5,2,2.98,0.31,8,1
1,4,2,3,2,8,7,2.1,0.22,7,1
6,3,7,2,2,7,7,1.33,0.14,5,1
4,2,6,1,2,6,6,0.51,0.05,3,1
3,4,6,2,2,7,7,0.36,0.04,2,1
7,4,7,1,2,6,7,0.67,0.07,3,1
8,4,9,2,2,7,7,0.33,0.03,2,1
9,5,9,2,2,6,7,0.42,0.04,2,1
9,5,9,2,2,5,11,0.08,0.01,1,1
8,7,9,2,2,4,13,0.13,0.01,1,1
8,7,9,2,2,3,13,0.21,0.02,2,1
7,7,8,2,2,6,7,0.55,0.06,3,1
6,7,6,2,2,7,7,0.89,0.09,4,1
7,6,7,2,2,6,7,0.82,0.09,4,1
7,4,8,2,2,5,7,0.79,0.08,4,1
2,5,1,2,2,4,2,3.53,0.37,9,0
5,3,4,2,2,8,7,2.54,0.27,8,1
7,3,7,1,2,7,7,1.55,0.16,6,1
6,2,8,2,2,7,7,0.57,0.06,3,1
6,5,9,1,2,5,11,0.03,0,1,1
8,3,9,1,2,5,7,0.16,0.02,1,1
9,3,9,1,2,6,13,0.5,0.05,3,1
9,6,9,1,2,4,13,0.37,0.04,2,1
9,5,9,1,2,3,13,0.51,0.05,3,1
8,7,9,2,2,3,13,0.63,0.07,3,1
8,6,9,2,2,4,11,0.11,0.01,1,1
8,6,9,2,2,4,11,0.03,0,1,1
7,6,9,2,2,4,13,0.46,0.05,3,1
7,5,9,2,3,4,13,1.17,0.12,5,1
7,5,8,2,3,6,13,1.77,0.19,6,1
2,6,3,3,2,4,5,3.68,0.39,9,1
4,5,6,2,2,7,5,2.75,0.29,8,1
5,3,7,2,2,6,5,1.77,0.19,6,1
5,3,8,1,2,5,7,0.79,0.08,4,1
7,3,9,1,2,6,7,0.13,0.01,1,1
8,3,9,2,2,4,7,0.45,0.05,3,1
8,3,9,2,2,4,13,0.56,0.06,3,1
9,3,9,2,2,4,11,0.24,0.02,2,1
9,6,9,2,2,4,13,0.54,0.06,3,1
6,7,9,2,2,5,13,0.57,0.06,3,1
7,7,9,2,2,3,13,0.84,0.09,4,1
7,7,9,2,2,4,13,0.47,0.05,3,1
7,6,9,2,2,4,11,0.06,0.01,1,1
7,5,8,2,2,4,13,0.28,0.03,2,1
7,5,5,3,3,5,13,0.93,0.1,4,1
2,8,5,3,3,5,5,3.54,0.37,9,1
4,7,4,2,3,8,5,2.57,0.27,8,1
2,5,1,1,2,7,7,1.63,0.17,6,1
3,3,3,2,2,7,7,0.72,0.08,4,0
7,3,9,1,2,4,7,0.12,0.01,1,1
7,3,9,1,2,4,13,0.54,0.06,3,1
8,3,9,1,2,5,13,0.26,0.03,2,1
8,3,9,1,2,4,13,0.4,0.04,2,1
7,5,7,2,2,5,13,0.47,0.05,3,0
2,6,4,2,2,5,11,0.14,0.01,1,1
6,7,8,1,2,5,11,0.19,0.02,1,1
6,6,8,2,2,4,13,0.02,0,1,1
6,7,9,3,2,3,13,0.36,0.04,2,1
6,7,9,2,2,4,13,1.02,0.11,4,1
7,7,8,2,2,4,11,0.38,0.04,2,1
7,5,6,2,2,5,11,0.13,0.01,1,1
2,10,1,3,4,3,1,3.52,0.37,9,0
2,7,1,3,3,3,3,2.55,0.27,8,0
5,4,6,1,2,6,7,1.57,0.17,6,0
5,3,7,2,2,5,7,0.61,0.06,3,1
5,3,9,2,2,5,11,0.05,0,1,1
6,3,9,2,2,4,13,0.81,0.09,4,1
7,3,9,2,2,4,13,1.34,0.14,5,1
6,3,9,2,2,4,13,0.82,0.09,4,1
4,4,7,2,2,5,11,0.11,0.01,1,1
4,6,7,1,2,5,11,0.42,0.04,2,1
4,7,8,2,2,4,13,1.13,0.12,5,1
4,7,7,2,2,4,13,0.58,0.06,3,1
5,6,8,2,2,4,11,0.04,0,1,1
5,6,8,3,3,4,13,0.97,0.1,4,1
5,6,8,2,3,3,13,0.92,0.1,4,1
4,5,7,2,2,5,13,0.34,0.04,2,1
1,9,1,3,5,3,1,3.62,0.38,9,0
1,7,1,3,5,3,1,2.63,0.28,8,0
3,5,3,2,2,7,7,1.65,0.17,6,0
4,4,7,1,2,5,7,0.66,0.07,3,1
2,3,3,2,2,7,10,0.15,0.02,1,0
5,3,9,2,2,5,13,0.59,0.06,3,1
6,4,9,2,2,4,13,1.18,0.12,5,1
6,5,9,2,2,3,13,1.5,0.16,5,1
