sediment_thick,gwt,predom,vs30,dem,pga,geo_form,near_dis,near_dis_norm,near_dist,LIQ
1,4,1,3,7,1,9,1.69,0.18,6,0
1,4,1,3,8,1,9,2.67,0.28,8,0
1,5,1,3,8,1,9,3.52,0.37,9,0
1,4,1,3,5,1,9,1.18,0.12,5,0
1,4,1,3,7,1,9,1.39,0.15,5,0
1,4,1,3,6,1,9,2.07,0.22,7,0
1,4,1,3,8,1,9,2.93,0.31,8,0
1,4,1,3,9,1,9,3.85,0.41,9,0
1,5,1,3,7,1,9,2.15,0.23,7,0
1,5,1,3,6,1,9,2.16,0.23,7,0
1,5,1,3,6,1,9,2.56,0.27,8,0
1,5,1,3,8,1,9,3.24,0.34,9,0
1,5,1,3,7,1,9,3.24,0.34,9,0
1,5,1,3,7,1,9,3.53,0.37,9,0
1,4,1,3,6,1,9,4.56,0.48,10,0
1,4,1,3,7,1,9,2.28,0.24,7,0
1,4,1,3,8,1,9,2.39,0.25,7,0
1,4,1,3,7,1,9,2.86,0.3,8,0
1,4,1,3,7,1,9,3.53,0.37,9,0
1,4,1,3,8,1,9,4.33,0.46,10,0
1,4,1,3,8,1,9,3.38,0.36,9,0
1,4,1,3,9,1,9,3.46,0.36,9,0
1,4,1,3,9,1,9,3.8,0.4,9,0
1,4,1,3,8,1,9,4.34,0.46,10,0
1,7,1,3,2,5,6,0.27,0.03,2,0
1,8,1,3,3,5,6,0.34,0.04,2,0
1,8,1,3,5,5,6,1.14,0.12,5,0
1,9,1,3,3,5,6,1.51,0.16,6,0
1,7,1,3,1,5,6,0,0,1,0
1,8,1,3,7,5,6,2.25,0.24,7,0
1,7,1,3,3,5,6,0.49,0.05,3,0
1,7,1,3,4,5,6,0.96,0.1,4,0
1,7,1,3,4,5,6,1.78,0.19,6,0
1,8,1,3,7,5,6,2.69,0.28,8,0
1,8,1,3,8,5,6,3.43,0.36,9,0
1,9,1,3,8,5,6,2.56,0.27,8,0
1,9,1,3,8,5,6,1.8,0.19,6,0
1,9,1,3,6,5,6,1.12,0.12,5,0
1,9,1,3,7,5,6,0.93,0.1,4,0
1,9,1,3,7,5,6,0.68,0.07,3,0
1,9,1,3,6,5,6,0.64,0.07,3,0
1,8,1,3,6,5,6,0.54,0.06,3,0
1,8,1,3,6,5,6,0.52,0.05,3,0
1,7,1,3,7,5,6,0.66,0.07,3,0
1,7,1,3,7,5,6,1.41,0.15,5,0
1,6,1,3,8,5,6,2.35,0.25,7,0
1,7,1,3,2,5,6,0.6,0.06,3,0
1,7,1,3,5,5,6,1.44,0.15,5,0
1,8,1,3,6,5,6,2,0.21,7,0
1,8,1,3,8,5,6,2.51,0.26,8,0
1,9,1,3,6,5,6,2.17,0.23,7,0
1,9,1,3,7,5,6,1.2,0.13,5,0
1,10,1,3,6,5,6,0.32,0.03,2,0
1,10,1,3,5,5,6,0.1,0.01,1,0
1,10,1,3,5,5,6,0.3,0.03,2,0
1,9,1,3,5,5,6,0.28,0.03,2,0
1,9,1,3,6,5,6,0.45,0.05,2,0
1,8,1,3,7,5,6,0.24,0.03,2,0
1,7,1,3,7,5,3,0.6,0.06,3,0
1,7,1,3,7,5,1,1.38,0.15,5,0
1,6,1,3,8,5,1,2.33,0.25,7,0
1,7,1,3,2,5,6,0.24,0.03,2,0
1,7,1,3,4,5,6,0.75,0.08,4,0
1,8,1,3,6,5,6,1.03,0.11,4,0
1,8,1,3,6,5,6,1.82,0.19,6,0
1,9,1,3,5,5,6,1.95,0.21,6,0
1,10,1,3,5,5,6,0.99,0.1,4,0
1,10,1,3,4,5,6,0.03,0,1,0
1,10,1,3,4,5,6,0.9,0.1,4,0
1,10,1,3,5,5,6,1.35,0.14,5,0
1,9,1,3,5,5,6,1.39,0.15,5,0
1,8,1,3,5,5,1,1.23,0.13,5,0
1,8,1,3,6,5,1,0.84,0.09,4,0
1,7,1,3,8,5,1,1.34,0.14,5,0
1,6,1,3,9,5,1,2.07,0.22,7,0
1,9,2,3,4,6,17,0.82,0.09,4,0
1,10,2,3,4,8,17,0.06,0.01,1,0
1,10,3,3,4,6,17,1.05,0.11,4,0
1,10,2,3,4,5,17,2.03,0.21,7,0
1,9,3,3,5,5,18,2.5,0.26,7,0
1,8,1,3,4,5,1,2.14,0.23,7,0
1,7,1,3,5,5,1,1.95,0.21,6,0
1,7,1,3,6,5,3,1.71,0.18,6,0
1,6,1,3,8,5,3,1.66,0.18,6,0
1,6,1,3,9,5,3,2.13,0.22,7,0
1,4,1,3,8,5,1,8.16,0.86,12,0
1,4,1,3,8,5,1,9.49,1,12,0
1,4,1,3,5,6,6,8.59,0.91,12,0
1,4,1,2,5,5,1,8.95,0.94,12,0
2,5,1,3,7,2,8,4.57,0.48,10,0
1,5,1,3,7,2,8,5.34,0.56,11,0
1,5,1,2,4,5,3,9.3,0.98,12,0
1,5,1,3,5,2,8,3.9,0.41,9,0
1,5,1,3,6,2,8,4.77,0.5,10,0
1,6,1,3,4,4,2,9.43,0.99,12,0
1,5,1,3,5,2,8,3.45,0.36,9,0
1,5,1,3,6,2,8,4.41,0.46,10,0
1,5,1,3,4,2,8,3.29,0.35,9,0
1,5,1,3,5,2,8,4.16,0.44,9,0
1,5,1,3,7,1,9,5,0.53,10,0
1,5,1,3,6,1,9,2.74,0.29,8,0
1,5,1,3,5,1,9,3.65,0.39,9,0
1,5,1,3,5,1,9,4.59,0.48,10,0
1,5,1,3,5,1,9,2.46,0.26,7,0
1,5,1,3,5,1,9,3.44,0.36,9,0
1,5,1,3,3,1,9,4.43,0.47,10,0
1,5,1,3,5,1,9,2.65,0.28,8,0
1,5,1,3,3,1,9,3.58,0.38,9,0
1,5,1,3,2,1,9,4.54,0.48,10,0
1,5,1,3,5,1,9,3.23,0.34,9,0
1,5,1,3,4,1,9,4.03,0.42,9,0
1,5,1,3,4,1,9,4.9,0.52,10,0
1,4,1,3,6,1,9,4.04,0.43,9,0
1,5,1,3,3,1,9,4.71,0.5,10,0
1,5,1,3,2,1,9,5.47,0.58,11,0
1,4,1,3,3,1,9,4.97,0.52,10,0
1,4,1,3,3,1,9,5.52,0.58,11,0
1,5,1,3,2,1,9,6.18,0.65,11,0
1,5,1,3,7,1,9,2.35,0.25,7,0
1,5,1,3,7,1,9,2.06,0.22,7,0
1,5,1,3,8,1,9,2.21,0.23,7,0
1,3,1,3,9,1,9,5.5,0.58,11,0
1,4,1,3,9,1,9,4.81,0.51,10,0
1,5,1,3,1,1,9,5.5,0.58,11,0
1,5,1,3,3,1,9,5.81,0.61,11,0
1,5,1,3,2,1,9,6.74,0.71,11,0
1,5,1,3,1,1,9,7.68,0.81,12,0
1,5,1,3,2,1,9,8.63,0.91,12,0
1,5,1,3,3,1,9,6.29,0.66,11,0
1,5,1,3,1,1,9,7.16,0.75,12,0
1,5,1,3,1,1,9,8.05,0.85,12,0
1,5,1,3,1,11,9,6.92,0.73,11,0
1,5,1,3,1,1,9,7.72,0.81,12,0
